,Algo,lag,dropout,epochs,batch_size,loss,rmse,power_gen_rmse,r2,model_filename,time_ran,reconstruction_rmse
0,Linear Regression,NA,NA,NA,NA,NA,159.44610968207442,12.627197221952084,0.577298233688445,1734067941_model_linear_mod.pkl,1734067941,
1,LSTM,24,0.3,10,12,"{'loss': [396.1358642578125, 234.6386260986328, 183.8592529296875, 167.7601318359375, 161.3385009765625, 159.88714599609375, 157.51321411132812, 154.50070190429688, 155.20660400390625, 154.05296325683594], 'val_loss': [270.352783203125, 190.71817016601562, 158.7246856689453, 147.7891387939453, 143.22396850585938, 140.6682586669922, 138.8950958251953, 137.6706085205078, 136.5145721435547, 135.7203826904297]}",135.63926250536457,11.646427027434834,0.6404116979929043,1734067962_model_24_lag.h5,1734067963,
2,LSTM,672,0.33,10,12,"{'loss': [214.7877197265625, 160.6741180419922, 152.26661682128906, 147.7468719482422, 145.98350524902344, 144.6100616455078, 143.98284912109375, 143.50494384765625, 142.39865112304688, 142.39813232421875], 'val_loss': [152.01011657714844, 142.4396209716797, 136.75482177734375, 134.60000610351562, 133.60540771484375, 133.23007202148438, 132.51974487304688, 132.00341796875, 131.54156494140625, 131.27456665039062]}",130.92598097767598,11.442289149365,0.6529069067556026,1734068122_model_672_lag.h5,1734068123,
3,LSTM Autoencoder,24,0.3,10,12,"{'loss': [0.048560868948698044, 0.03686070442199707, 0.034826669842004776, 0.033805329352617264, 0.03383462876081467, 0.03270702064037323, 0.03261164575815201, 0.03271550312638283, 0.03225211799144745, 0.03191712498664856], 'val_loss': [0.03201219439506531, 0.028189312666654587, 0.02834143303334713, 0.02781663089990616, 0.027978992089629173, 0.028056129813194275, 0.027756573632359505, 0.027330070734024048, 0.02722533605992794, 0.027628157287836075]}",,11.801424543785911,0.6414535115737231,1734079937autoencoder24_latent.h5,1734079938,11.801424543785911
